,EpisodeCount,StepCount,Time,InstanceUUID,SettleCount,ChangedCount,MeanComparisonCount,StdComparisonCount,ReachedKnowledgeStep,Q1ReachedKnowledgeStep,Q2ReachedKnowledgeStep,Q3ReachedKnowledgeStep,Matched_HorizontalPiece,Matched_VerticalPiece,Matched_CrossPiece,Matched_RocketPiece,Matched_BombPiece,Matched_RainbowPiece,Target_HorizontalPiece,Target_VerticalPiece,Target_CrossPiece,Target_RocketPiece,Target_BombPiece,Target_RainbowPiece,method,player,simpleEffect,objective,simulation,almostRatio,playerDepth,Sum_Matched
0,1,200,2023-05-24 16:16:25.854,698d9ebc,0,223,0.9105431,0.7238944,30,23,30,30,61,54,6,122,20,16,7,3,0,2,2,3,mcts,0,1,knowledge,200,1.0,1,366
1,2,200,2023-05-24 16:17:37.429,698d9ebc,0,243,0.9266055,0.6697645,33,33,33,33,78,59,12,113,5,21,7,3,0,2,2,3,mcts,0,1,knowledge,200,1.0,1,468
2,3,200,2023-05-24 16:18:59.495,698d9ebc,0,261,1.037618,0.6671742,31,26,26,31,52,71,8,151,12,18,7,3,0,2,2,3,mcts,0,1,knowledge,200,1.0,1,312
0,1,200,2023-05-24 16:17:17.056,6eda4694,0,318,2.281065,1.100713,147,73,73,147,58,61,15,169,7,33,7,3,0,2,2,3,mcts,0,1,knowledge,200,1.0,2,348
0,1,200,2023-05-24 16:19:01.150,0849180e,0,340,3.170455,1.492405,161,126,126,161,83,68,3,197,3,15,7,3,0,2,2,3,mcts,0,1,knowledge,200,1.0,3,498
0,1,200,2023-05-24 16:17:00.059,16298299,0,246,0.9487952,0.704173,95,27,84,95,56,72,17,149,5,7,7,3,0,2,2,3,mcts,0,1,score,200,-,1,336
1,2,200,2023-05-24 16:18:15.866,16298299,0,234,1.009709,0.7493955,79,48,64,79,65,46,11,146,15,20,7,3,0,2,2,3,mcts,0,1,score,200,-,1,390
0,1,200,2023-05-24 16:18:06.782,b0f7514a,0,325,2.302325,1.117784,89,70,70,89,59,68,26,186,13,26,7,3,0,2,2,3,mcts,0,1,score,200,-,2,354
0,1,200,2023-05-24 16:18:38.331,92a3f9a0,0,319,3.300912,1.378416,59,30,43,59,54,59,12,187,6,13,7,3,0,2,2,3,mcts,0,1,score,200,-,3,324
0,1,200,2023-05-24 16:16:27.676,a293b59c,0,243,0.9475309,0.6996417,87,28,82,82,49,64,17,159,8,20,11,8,4,5,3,3,mcts,1,1,knowledge,200,1.0,1,294
1,2,200,2023-05-24 16:17:49.815,a293b59c,0,260,0.9799427,0.7288386,112,78,93,93,68,66,6,176,8,23,11,8,4,5,3,3,mcts,1,1,knowledge,200,1.0,1,408
2,3,200,2023-05-24 16:19:23.299,a293b59c,0,258,0.9745042,0.7400295,50,12,41,50,81,51,19,195,10,22,11,8,4,5,3,3,mcts,1,1,knowledge,200,1.0,1,486
0,1,200,2023-05-24 16:18:02.322,cee22dac,0,339,2.232044,1.092036,92,51,72,92,67,57,17,252,13,17,11,8,4,5,3,3,mcts,1,1,knowledge,200,1.0,2,402
0,1,200,2023-05-24 16:18:56.054,68f0d4de,0,341,3.075843,1.467922,37,25,30,30,73,44,25,197,12,29,11,8,4,5,3,3,mcts,1,1,knowledge,200,1.0,3,438
0,1,200,2023-05-24 16:16:47.755,58d3041a,0,219,0.9269103,0.7127225,-1,56,112,-1,57,55,21,124,2,14,11,8,4,5,3,3,mcts,1,1,score,200,-,1,342
