,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint,Q_BombPiece,Q_CrossPiece,Q_HorizontalPiece,Q_RainbowPiece,Q_RocketPiece,Q_VerticalPiece,Timestamp,Age,Gender,GF_PlayFrequency,GF_PlayTime,GF_TutorialHelpful,GF_BasicMechanicTime,GF_SpecialSkillTime,GF_TutorialHelpRemember,GF_LearnedAllSkill,GF_InvolvedInGame,GF_NewBlockSame,GF_HintUseless,Diff_CM_BombPiece,Diff_CM_CrossPiece,Diff_CM_HorizontalPiece,Diff_CM_RainbowPiece,Diff_CM_RocketPiece,Diff_CM_VerticalPiece,EVT_MatchNoHint_BombPiece,EVT_MatchIgnoringHint_BombPiece,EVT_MatchNoHint_CrossPiece,EVT_MatchIgnoringHint_CrossPiece,EVT_MatchNoHint_HorizontalPiece,EVT_MatchIgnoringHint_HorizontalPiece,EVT_MatchNoHint_RainbowPiece,EVT_MatchIgnoringHint_RainbowPiece,EVT_MatchNoHint_RocketPiece,EVT_MatchIgnoringHint_RocketPiece,EVT_MatchNoHint_VerticalPiece,EVT_MatchIgnoringHint_VerticalPiece
0,0,0,0,0,0,0,False,False,False,False,False,False,14c0e24b,MCTS_Knowledge,1,9.2159,0,2023-08-04 04:37:18.019,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,False,False,False,False,False,False,14c0e24b,MCTS_Knowledge,2,8.445501,2153,2023-08-04 04:37:31.330,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,2,0,False,False,False,False,False,False,14c0e24b,MCTS_Knowledge,3,3.82990265,1170,2023-08-04 04:37:37.113,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,4,8.186298,188,2023-08-04 04:37:46.330,True,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,5,6.03820038,165,2023-08-04 04:38:04.723,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,6,0.265899658,170,2023-08-04 04:38:08.790,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,7,4.380295,471,2023-08-04 04:38:14.571,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,8,2.91679382,463,2023-08-04 04:38:18.806,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,9,5.31639862,156,2023-08-04 04:38:25.156,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,10,5.943199,619,2023-08-04 04:38:32.447,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,11,2.55360413,159,2023-08-04 04:38:36.026,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,12,8.314102,137,2023-08-04 04:39:00.135,True,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,13,5.266403,1983,2023-08-04 04:39:08.173,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,14,4.593399,148,2023-08-04 04:39:13.642,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,15,2.05599976,790,2023-08-04 04:39:17.244,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,16,4.73381042,146,2023-08-04 04:39:25.486,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1,2,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,17,11.46199,955,2023-08-04 04:39:41.434,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,18,7.84230042,160,2023-08-04 04:39:58.316,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,19,6.401108,154,2023-08-04 04:40:05.744,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,20,5.581711,172,2023-08-04 04:40:12.351,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,21,8.00621,602,2023-08-04 04:40:22.718,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,22,4.938904,437,2023-08-04 04:40:28.920,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,23,5.44850159,152,2023-08-04 04:40:36.702,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,24,8.261002,144,2023-08-04 04:40:47.174,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,25,8.175705,717,2023-08-04 04:40:56.951,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,3,0,4,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,26,4.475113,150,2023-08-04 04:41:03.545,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,1,3,0,4,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,27,3.55960083,757,2023-08-04 04:41:08.777,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,1,4,0,4,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,28,7.955887,1070,2023-08-04 04:41:18.688,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,1,4,1,4,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,29,5.30969238,1630,2023-08-04 04:41:26.406,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,1,4,1,4,1,False,False,True,False,True,True,14c0e24b,MCTS_Knowledge,30,3.64907837,152,2023-08-04 04:41:30.940,True,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30,0,1,4,1,4,1,False,False,True,False,True,True,14c0e24b,MCTS_Knowledge,31,4.939514,147,2023-08-04 04:41:45.698,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,1,4,1,4,1,False,False,True,False,True,True,14c0e24b,MCTS_Knowledge,32,5.12008667,718,2023-08-04 04:41:52.285,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
