,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint
0,0,0,0,0,0,0,False,False,False,False,False,False,14c0e24b,MCTS_Knowledge,1,9.2159,0,2023-08-04 04:37:18.019,False,False
1,0,0,0,0,1,0,False,False,False,False,False,False,14c0e24b,MCTS_Knowledge,2,8.445501,2153,2023-08-04 04:37:31.330,False,False
2,0,0,0,0,2,0,False,False,False,False,False,False,14c0e24b,MCTS_Knowledge,3,3.82990265,1170,2023-08-04 04:37:37.113,False,False
3,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,4,8.186298,188,2023-08-04 04:37:46.330,True,False
4,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,5,6.03820038,165,2023-08-04 04:38:04.723,False,False
5,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,6,0.265899658,170,2023-08-04 04:38:08.790,False,False
6,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,7,4.380295,471,2023-08-04 04:38:14.571,False,False
7,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,8,2.91679382,463,2023-08-04 04:38:18.806,False,False
8,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,9,5.31639862,156,2023-08-04 04:38:25.156,False,False
9,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,10,5.943199,619,2023-08-04 04:38:32.447,False,False
10,0,0,1,0,2,0,False,False,True,False,False,False,14c0e24b,MCTS_Knowledge,11,2.55360413,159,2023-08-04 04:38:36.026,False,False
11,0,0,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,12,8.314102,137,2023-08-04 04:39:00.135,True,False
12,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,13,5.266403,1983,2023-08-04 04:39:08.173,False,False
13,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,14,4.593399,148,2023-08-04 04:39:13.642,False,False
14,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,15,2.05599976,790,2023-08-04 04:39:17.244,False,False
15,0,1,1,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,16,4.73381042,146,2023-08-04 04:39:25.486,False,False
16,0,1,2,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,17,11.46199,955,2023-08-04 04:39:41.434,False,False
17,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,18,7.84230042,160,2023-08-04 04:39:58.316,False,False
18,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,19,6.401108,154,2023-08-04 04:40:05.744,False,False
19,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,20,5.581711,172,2023-08-04 04:40:12.351,False,False
20,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,21,8.00621,602,2023-08-04 04:40:22.718,False,False
21,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,22,4.938904,437,2023-08-04 04:40:28.920,False,False
22,0,1,3,0,3,0,False,False,True,False,True,False,14c0e24b,MCTS_Knowledge,23,5.44850159,152,2023-08-04 04:40:36.702,False,False
