,User,Q_BombPiece,Q_CrossPiece,Q_HorizontalPiece,Q_RainbowPiece,Q_RocketPiece,Q_VerticalPiece
0,01a81cfc,True,False,False,False,False,False
1,02de9ff0,True,False,False,True,False,False
2,07b2dbb1,False,True,False,False,False,False
3,0c6b55d0,False,False,True,False,False,False
4,11909e7f,False,False,False,True,False,True
5,138ff675,False,False,False,False,False,True
6,14c0e24b,True,False,False,True,False,True
7,18a79648,False,False,False,True,False,False
8,1a1b31b1,True,False,True,False,False,False
9,1f89ce40,False,False,False,False,False,False
10,1fc40065,False,False,False,True,False,True
11,211700f2,False,False,False,False,False,False
12,2602d813,False,False,False,False,False,False
13,2b767f12,False,False,False,True,False,False
14,2e7611c0,False,False,False,True,False,False
15,2ef9e3fc,False,False,False,False,False,False
16,32e399ef,False,False,False,False,False,False
17,3307613a,True,False,False,True,False,False
18,33667271,True,True,False,False,False,True
19,372045dd,False,False,False,True,False,False
20,3896c8d1,True,True,False,False,False,False
21,399c05ac,False,False,False,True,False,False
22,3b6cbcf4,False,False,False,False,False,False
23,3b834540,False,False,False,False,False,False
24,4014ce4e,False,False,False,False,False,False
25,41d17f3a,False,False,True,True,False,False
26,420e418d,False,False,False,False,False,False
27,4722edc2,True,False,False,True,False,False
28,4902a379,True,True,True,True,False,False
29,513c2bc8,False,True,False,True,False,False
30,54b27ea8,False,True,False,False,False,True
31,569dd2ad,False,False,False,True,False,False
32,58f9a192,False,False,False,True,False,False
33,5ace3e0e,False,True,False,True,False,True
34,601f8747,False,False,False,False,False,True
35,616f7be1,False,False,False,False,False,False
36,629c61f5,True,False,False,True,False,False
37,62f0f29a,False,False,False,False,False,False
38,692e437f,False,False,False,False,False,False
39,6e1f1dc2,False,False,False,False,False,False
40,6e7fdf0d,False,False,False,False,False,False
41,77d913e1,False,True,False,True,False,True
42,7914a8c1,False,False,False,False,False,True
43,7e5cae45,False,False,True,False,False,False
44,818e2612,False,False,False,True,False,True
45,86623ae8,False,False,False,False,False,True
46,87e9394d,False,False,True,False,False,False
47,89a1deb3,False,False,True,True,False,False
48,8ca3670c,False,False,False,False,False,False
49,8e67e602,False,False,True,True,False,False
50,8e76acc4,False,False,False,False,False,False
51,8e99c694,True,False,False,True,False,True
52,90a9f284,False,False,True,False,False,True
53,91315a2b,False,True,False,True,False,False
54,913a3710,False,False,True,True,False,True
55,939c5686,False,False,False,False,False,True
56,99f38975,False,True,False,True,False,True
57,a4c03771,False,False,True,True,False,False
58,a4c2fb48,False,False,False,True,False,False
59,a6886d13,False,False,False,True,False,False
60,ac3608e8,True,True,False,False,False,False
61,b0fec75f,False,False,False,True,False,False
62,b31d7a8a,True,False,True,True,True,True
63,b39f428f,False,False,False,False,False,True
64,b9281613,False,True,False,False,False,False
65,bdad55ea,True,False,False,False,False,False
66,bdefdf74,False,False,False,False,False,False
67,bf3330de,False,False,False,True,False,True
68,cb2679f5,False,True,False,False,False,False
69,cd7e2c34,False,False,False,True,False,False
70,cfb52f3e,False,False,False,False,False,True
71,d60101ee,True,False,True,False,False,False
72,d84e41a6,False,False,False,True,False,False
73,da3e5e15,False,True,False,False,False,False
74,dd57bd34,False,True,False,False,True,True
75,dd6325cf,False,False,False,False,False,True
76,e1c56623,False,False,False,True,False,False
77,e251b4cb,False,False,False,False,False,False
78,e303a9fd,False,True,False,False,False,True
79,e30a3a35,True,True,False,False,False,True
80,e39a4439,True,False,True,True,False,True
81,e76665a7,True,False,False,False,False,False
82,e9191369,False,False,False,True,False,True
83,ec526bd4,False,False,False,True,False,False
84,f0c5a12b,False,True,False,False,False,False
85,f2585b45,False,True,True,True,False,True
86,f6a7f177,False,False,False,False,False,False
87,fab90c3f,False,False,False,True,False,False
88,fda381bb,False,False,False,False,False,False
