,User,Method,DecisionTime,PlayerAction,QuestionNumber,QuizFile,Time,Correct,IPAddress
0,14c0e24b,MCTS_Knowledge,2.50671387,32,0,cross_0,2023-08-04 04:45:40.530,False,
1,14c0e24b,MCTS_Knowledge,5.222412,26,1,rainbow_0,2023-08-04 04:45:45.880,False,
2,14c0e24b,MCTS_Knowledge,7.78240967,97,2,vertical_0,2023-08-04 04:45:53.805,False,
3,14c0e24b,MCTS_Knowledge,4.67108154,107,3,bomb_1,2023-08-04 04:45:58.605,True,
4,14c0e24b,MCTS_Knowledge,2.283081,116,4,cross_1,2023-08-04 04:46:01.009,False,
5,14c0e24b,MCTS_Knowledge,2.30627441,84,5,horizon_1,2023-08-04 04:46:03.427,False,
6,14c0e24b,MCTS_Knowledge,5.444092,44,6,rainbow_0,2023-08-04 04:46:09.011,True,
7,14c0e24b,MCTS_Knowledge,3.73980713,16,7,rocket_0,2023-08-04 04:46:12.871,False,
8,14c0e24b,MCTS_Knowledge,4.11566162,51,8,rocket_0,2023-08-04 04:46:17.115,False,
9,14c0e24b,MCTS_Knowledge,3.53771973,25,9,vertical_1,2023-08-04 04:46:20.773,True,
10,14c0e24b,MCTS_Knowledge,2.17218018,91,10,horizon_0,2023-08-04 04:46:23.062,False,
11,14c0e24b,MCTS_Knowledge,2.32684326,117,11,bomb_0,2023-08-04 04:46:25.506,False,
12,1a1b31b1,MCTS_Knowledge,6.002136,117,0,rainbow_0,2023-08-04 04:38:53.830,False,
13,1a1b31b1,MCTS_Knowledge,7.60150146,121,1,rocket_0,2023-08-04 04:39:01.568,False,
14,1a1b31b1,MCTS_Knowledge,23.3415527,42,2,bomb_0,2023-08-04 04:39:25.033,True,
15,1a1b31b1,MCTS_Knowledge,10.4210205,56,3,cross_0,2023-08-04 04:39:35.573,False,
16,1a1b31b1,MCTS_Knowledge,7.427185,57,4,horizon_0,2023-08-04 04:39:43.122,False,
17,1a1b31b1,MCTS_Knowledge,22.0588989,121,5,rocket_0,2023-08-04 04:40:05.305,False,
18,1a1b31b1,MCTS_Knowledge,27.1586914,117,6,vertical_1,2023-08-04 04:40:32.572,False,
19,1a1b31b1,MCTS_Knowledge,0.3723755,117,7,vertical_0,2023-08-04 04:40:33.056,False,
20,1a1b31b1,MCTS_Knowledge,10.4198,46,8,bomb_1,2023-08-04 04:40:43.586,False,
21,1a1b31b1,MCTS_Knowledge,4.7177124,116,9,cross_1,2023-08-04 04:40:48.440,False,
22,1a1b31b1,MCTS_Knowledge,7.81030273,54,10,rainbow_0,2023-08-04 04:40:56.372,False,
23,1a1b31b1,MCTS_Knowledge,15.7076416,124,11,horizon_1,2023-08-04 04:41:12.202,True,
24,211700f2,MCTS_Knowledge,92.1943359,8,0,vertical_1,2023-08-04 04:21:35.773,False,
25,211700f2,MCTS_Knowledge,27.82129,19,1,rainbow_0,2023-08-04 04:22:04.038,False,
26,211700f2,MCTS_Knowledge,15.2648926,8,2,bomb_1,2023-08-04 04:22:19.328,False,
27,211700f2,MCTS_Knowledge,30.8415527,1,3,vertical_0,2023-08-04 04:22:50.176,False,
28,211700f2,MCTS_Knowledge,14.53125,17,4,horizon_0,2023-08-04 04:23:04.715,False,
29,211700f2,MCTS_Knowledge,9.447632,10,5,rocket_0,2023-08-04 04:23:14.168,False,
30,211700f2,MCTS_Knowledge,21.85376,65,6,cross_1,2023-08-04 04:23:36.030,False,
31,211700f2,MCTS_Knowledge,10.2351074,104,7,bomb_0,2023-08-04 04:23:46.271,False,
32,211700f2,MCTS_Knowledge,12.27124,78,8,rocket_0,2023-08-04 04:23:58.547,False,
33,211700f2,MCTS_Knowledge,16.2833252,6,9,cross_0,2023-08-04 04:24:14.836,False,
34,211700f2,MCTS_Knowledge,27.3255615,8,10,horizon_1,2023-08-04 04:24:42.183,False,
35,211700f2,MCTS_Knowledge,56.15808,10,11,rainbow_0,2023-08-04 04:25:38.667,False,
36,2602d813,MCTS_Knowledge,4.250305,116,0,rainbow_0,2023-08-04 05:05:58.822,False,
37,2602d813,MCTS_Knowledge,2.30340576,116,1,cross_1,2023-08-04 05:06:01.250,False,
38,2602d813,MCTS_Knowledge,2.30010986,116,2,rainbow_0,2023-08-04 05:06:03.689,False,
39,2602d813,MCTS_Knowledge,4.228882,92,3,vertical_0,2023-08-04 05:06:08.053,False,
40,2602d813,MCTS_Knowledge,2.73480225,91,4,cross_0,2023-08-04 05:06:10.923,False,
41,2602d813,MCTS_Knowledge,21.4733887,18,5,vertical_1,2023-08-04 05:06:32.528,False,
42,2602d813,MCTS_Knowledge,4.4831543,121,6,rocket_0,2023-08-04 05:06:37.143,False,
43,2602d813,MCTS_Knowledge,4.87207031,49,7,bomb_0,2023-08-04 05:06:42.135,False,
44,2602d813,MCTS_Knowledge,2.59002686,120,8,horizon_0,2023-08-04 05:06:44.837,False,
45,2602d813,MCTS_Knowledge,2.46118164,121,9,rocket_0,2023-08-04 05:06:47.432,False,
46,2602d813,MCTS_Knowledge,5.868225,75,10,horizon_1,2023-08-04 05:06:53.423,False,
47,2602d813,MCTS_Knowledge,2.45770264,46,11,bomb_1,2023-08-04 05:06:56.017,False,
48,2b767f12,MCTS_Knowledge,8.765747,60,0,rocket_0,2023-08-04 08:02:11.616,False,
49,2b767f12,MCTS_Knowledge,109.912354,0,1,bomb_0,2023-08-04 08:04:01.673,False,
50,2b767f12,MCTS_Knowledge,4.584839,18,2,vertical_1,2023-08-04 08:04:06.394,False,
51,2b767f12,MCTS_Knowledge,7.76159668,44,3,rainbow_0,2023-08-04 08:04:14.299,True,
52,2b767f12,MCTS_Knowledge,9.221436,116,4,rainbow_0,2023-08-04 08:04:23.664,False,
53,2b767f12,MCTS_Knowledge,18.225708,18,5,horizon_1,2023-08-04 08:04:42.040,False,
54,2b767f12,MCTS_Knowledge,3.87878418,75,6,bomb_1,2023-08-04 08:04:46.054,False,
55,2b767f12,MCTS_Knowledge,4.944214,91,7,cross_0,2023-08-04 08:04:51.131,False,
56,2b767f12,MCTS_Knowledge,8.18457,113,8,vertical_0,2023-08-04 08:04:59.458,False,
57,2b767f12,MCTS_Knowledge,2.67285156,16,9,rocket_0,2023-08-04 08:05:02.280,False,
58,2b767f12,MCTS_Knowledge,3.01464844,88,10,horizon_0,2023-08-04 08:05:05.422,False,
59,2b767f12,MCTS_Knowledge,11.0858154,58,11,cross_1,2023-08-04 08:05:16.654,False,
60,32e399ef,MCTS_Knowledge,3.33587646,11,0,bomb_1,2023-08-04 03:55:18.129,False,
61,32e399ef,MCTS_Knowledge,7.3828125,78,1,rocket_0,2023-08-04 03:55:25.672,False,
62,32e399ef,MCTS_Knowledge,10.9985962,65,2,vertical_1,2023-08-04 03:55:36.821,False,
63,32e399ef,MCTS_Knowledge,7.940918,16,3,rainbow_0,2023-08-04 03:55:44.913,False,
64,32e399ef,MCTS_Knowledge,2.41186523,16,4,rainbow_0,2023-08-04 03:55:47.464,False,
65,32e399ef,MCTS_Knowledge,5.17272949,64,5,bomb_0,2023-08-04 03:55:52.794,False,
66,32e399ef,MCTS_Knowledge,7.59069824,35,6,vertical_0,2023-08-04 03:56:00.516,False,
67,32e399ef,MCTS_Knowledge,11.4937134,75,7,horizon_1,2023-08-04 03:56:12.145,False,
68,32e399ef,MCTS_Knowledge,2.73730469,75,8,cross_1,2023-08-04 03:56:15.027,False,
69,32e399ef,MCTS_Knowledge,2.954895,75,9,horizon_0,2023-08-04 03:56:18.124,False,
70,32e399ef,MCTS_Knowledge,13.4413452,10,10,rocket_0,2023-08-04 03:56:31.737,False,
71,32e399ef,MCTS_Knowledge,3.032959,6,11,cross_0,2023-08-04 03:56:34.899,False,
72,3896c8d1,MCTS_Knowledge,6.668396,81,0,rocket_0,2023-08-04 04:31:47.026,False,
73,3896c8d1,MCTS_Knowledge,21.44989,1,1,vertical_0,2023-08-04 04:32:08.598,False,
74,3896c8d1,MCTS_Knowledge,7.80126953,75,2,horizon_1,2023-08-04 04:32:16.511,False,
75,3896c8d1,MCTS_Knowledge,3.5994873,16,3,rocket_0,2023-08-04 04:32:20.240,False,
76,3896c8d1,MCTS_Knowledge,2.690796,42,4,bomb_0,2023-08-04 04:32:23.055,True,
77,3896c8d1,MCTS_Knowledge,6.11322,107,5,bomb_1,2023-08-04 04:32:29.283,True,
78,3896c8d1,MCTS_Knowledge,3.16015625,75,6,cross_1,2023-08-04 04:32:32.561,False,
79,3896c8d1,MCTS_Knowledge,4.331665,92,7,rainbow_0,2023-08-04 04:32:37.015,False,
80,3896c8d1,MCTS_Knowledge,7.062744,75,8,vertical_1,2023-08-04 04:32:44.187,False,
81,3896c8d1,MCTS_Knowledge,2.828247,91,9,horizon_0,2023-08-04 04:32:47.137,False,
82,3896c8d1,MCTS_Knowledge,2.03527832,24,10,cross_0,2023-08-04 04:32:49.292,True,
83,3896c8d1,MCTS_Knowledge,5.38659668,84,11,rainbow_0,2023-08-04 04:32:54.798,False,
84,399c05ac,MCTS_Knowledge,83.8269043,121,0,rocket_0,2023-08-04 04:59:48.843,False,
85,399c05ac,MCTS_Knowledge,31.8928223,8,1,bomb_1,2023-08-04 05:00:21.826,False,
86,399c05ac,MCTS_Knowledge,44.5998535,44,2,rainbow_0,2023-08-04 05:01:07.218,True,
87,399c05ac,MCTS_Knowledge,31.6481934,51,3,horizon_0,2023-08-04 05:01:39.556,False,
88,399c05ac,MCTS_Knowledge,41.59912,25,4,horizon_1,2023-08-04 05:02:21.920,False,
89,399c05ac,MCTS_Knowledge,8.158936,46,5,vertical_0,2023-08-04 05:02:30.093,False,
90,399c05ac,MCTS_Knowledge,14.6418457,75,6,cross_1,2023-08-04 05:02:45.615,False,
91,399c05ac,MCTS_Knowledge,18.2348633,78,7,bomb_0,2023-08-04 05:03:03.874,False,
92,399c05ac,MCTS_Knowledge,39.1599121,44,8,vertical_1,2023-08-04 05:03:43.848,False,
93,399c05ac,MCTS_Knowledge,21.6359863,51,9,rocket_0,2023-08-04 05:04:05.496,False,
94,399c05ac,MCTS_Knowledge,80.37305,34,10,cross_0,2023-08-04 05:05:25.880,False,
95,399c05ac,MCTS_Knowledge,22.0959473,106,11,rainbow_0,2023-08-04 05:05:47.984,False,
96,4722edc2,MCTS_Knowledge,28.9277954,99,0,rocket_0,2023-08-04 04:33:49.092,False,
97,4722edc2,MCTS_Knowledge,8.378784,98,1,cross_1,2023-08-04 04:33:57.648,False,
98,4722edc2,MCTS_Knowledge,5.55599976,44,2,vertical_1,2023-08-04 04:34:03.301,False,
99,4722edc2,MCTS_Knowledge,9.57208252,46,3,cross_0,2023-08-04 04:34:13.049,False,
100,4722edc2,MCTS_Knowledge,2.10211182,26,4,rainbow_0,2023-08-04 04:34:15.256,False,
101,4722edc2,MCTS_Knowledge,3.213623,107,5,bomb_1,2023-08-04 04:34:18.557,True,
102,4722edc2,MCTS_Knowledge,2.28717041,99,6,rocket_0,2023-08-04 04:34:20.930,False,
103,4722edc2,MCTS_Knowledge,3.96228027,44,7,rainbow_0,2023-08-04 04:34:25.087,True,
104,4722edc2,MCTS_Knowledge,4.0567627,51,8,horizon_0,2023-08-04 04:34:29.327,False,
105,4722edc2,MCTS_Knowledge,6.080017,104,9,bomb_0,2023-08-04 04:34:35.492,False,
106,4722edc2,MCTS_Knowledge,5.36352539,44,10,horizon_1,2023-08-04 04:34:40.965,False,
107,4722edc2,MCTS_Knowledge,4.55499268,121,11,vertical_0,2023-08-04 04:34:45.618,False,
108,513c2bc8,MCTS_Knowledge,3.59698486,106,0,rainbow_0,2023-08-04 05:02:51.365,False,
109,513c2bc8,MCTS_Knowledge,2.98034668,25,1,horizon_1,2023-08-04 05:02:54.463,False,
110,513c2bc8,MCTS_Knowledge,3.84436035,31,2,cross_1,2023-08-04 05:02:58.423,False,
111,513c2bc8,MCTS_Knowledge,6.85870361,46,3,bomb_1,2023-08-04 05:03:05.398,False,
112,513c2bc8,MCTS_Knowledge,6.48510742,38,4,bomb_0,2023-08-04 05:03:12.001,False,
113,513c2bc8,MCTS_Knowledge,4.75177,16,5,rocket_0,2023-08-04 05:03:16.891,False,
114,513c2bc8,MCTS_Knowledge,3.54620361,44,6,rainbow_0,2023-08-04 05:03:20.564,True,
115,513c2bc8,MCTS_Knowledge,11.7980957,50,7,vertical_0,2023-08-04 05:03:32.479,False,
116,513c2bc8,MCTS_Knowledge,6.93817139,88,8,horizon_0,2023-08-04 05:03:39.549,False,
117,513c2bc8,MCTS_Knowledge,3.635254,16,9,rocket_0,2023-08-04 05:03:43.308,False,
118,513c2bc8,MCTS_Knowledge,8.839539,75,10,vertical_1,2023-08-04 05:03:52.267,False,
119,513c2bc8,MCTS_Knowledge,3.43707275,24,11,cross_0,2023-08-04 05:03:55.837,True,
120,54b27ea8,MCTS_Knowledge,20.5635986,19,0,rainbow_0,2023-08-04 04:25:15.525,False,
121,54b27ea8,MCTS_Knowledge,19.2380981,25,1,horizon_1,2023-08-04 04:25:34.883,False,
122,54b27ea8,MCTS_Knowledge,11.3112793,75,2,rocket_0,2023-08-04 04:25:46.324,False,
123,54b27ea8,MCTS_Knowledge,2.96759033,83,3,horizon_0,2023-08-04 04:25:49.413,False,
124,54b27ea8,MCTS_Knowledge,12.4144287,24,4,cross_0,2023-08-04 04:26:01.943,True,
125,54b27ea8,MCTS_Knowledge,8.245544,16,5,rocket_0,2023-08-04 04:26:10.308,False,
126,54b27ea8,MCTS_Knowledge,4.918274,116,6,vertical_1,2023-08-04 04:26:15.348,False,
127,54b27ea8,MCTS_Knowledge,13.9349976,10,7,bomb_1,2023-08-04 04:26:29.431,False,
128,54b27ea8,MCTS_Knowledge,2.96569824,10,8,bomb_0,2023-08-04 04:26:32.529,False,
129,54b27ea8,MCTS_Knowledge,9.11792,37,9,cross_1,2023-08-04 04:26:41.764,False,
130,54b27ea8,MCTS_Knowledge,3.82580566,84,10,rainbow_0,2023-08-04 04:26:45.723,False,
131,54b27ea8,MCTS_Knowledge,13.5114746,15,11,vertical_0,2023-08-04 04:26:59.358,True,
132,5ace3e0e,MCTS_Knowledge,4.402466,75,0,cross_1,2023-08-04 01:38:06.528,False,
133,5ace3e0e,MCTS_Knowledge,5.706909,7,1,bomb_0,2023-08-04 01:38:12.514,False,
134,5ace3e0e,MCTS_Knowledge,4.404419,16,2,rocket_0,2023-08-04 01:38:17.213,False,
135,5ace3e0e,MCTS_Knowledge,4.29296875,26,3,vertical_0,2023-08-04 01:38:21.751,False,
136,5ace3e0e,MCTS_Knowledge,3.16223145,75,4,horizon_1,2023-08-04 01:38:25.014,False,
137,5ace3e0e,MCTS_Knowledge,4.860962,34,5,rocket_0,2023-08-04 01:38:30.141,False,
138,5ace3e0e,MCTS_Knowledge,3.84802246,25,6,vertical_1,2023-08-04 01:38:34.257,True,
139,5ace3e0e,MCTS_Knowledge,3.649414,24,7,cross_0,2023-08-04 01:38:38.232,True,
140,5ace3e0e,MCTS_Knowledge,4.1932373,44,8,rainbow_0,2023-08-04 01:38:42.706,True,
141,5ace3e0e,MCTS_Knowledge,2.9519043,44,9,rainbow_0,2023-08-04 01:38:45.946,True,
142,5ace3e0e,MCTS_Knowledge,9.738159,88,10,horizon_0,2023-08-04 01:38:55.949,False,
143,5ace3e0e,MCTS_Knowledge,3.65197754,65,11,bomb_1,2023-08-04 01:38:59.865,False,
144,629c61f5,MCTS_Knowledge,9.13208,44,0,rainbow_0,2023-08-04 04:33:16.613,True,
145,629c61f5,MCTS_Knowledge,0.7225952,44,1,rainbow_0,2023-08-04 04:33:17.486,True,
146,629c61f5,MCTS_Knowledge,10.026001,95,2,horizon_0,2023-08-04 04:33:27.655,False,
147,629c61f5,MCTS_Knowledge,5.530884,17,3,cross_1,2023-08-04 04:33:33.327,False,
148,629c61f5,MCTS_Knowledge,9.265076,60,4,rocket_0,2023-08-04 04:33:42.770,False,
149,629c61f5,MCTS_Knowledge,1.21459961,54,5,rocket_0,2023-08-04 04:33:44.110,False,
150,629c61f5,MCTS_Knowledge,2.71600342,56,6,cross_0,2023-08-04 04:33:46.965,False,
151,629c61f5,MCTS_Knowledge,1.0302124,42,7,bomb_0,2023-08-04 04:33:48.126,True,
152,629c61f5,MCTS_Knowledge,14.5151978,72,8,vertical_0,2023-08-04 04:34:02.793,False,
153,629c61f5,MCTS_Knowledge,7.54058838,44,9,horizon_1,2023-08-04 04:34:10.465,False,
154,629c61f5,MCTS_Knowledge,182.954529,44,10,vertical_1,2023-08-04 04:37:13.567,False,
155,629c61f5,MCTS_Knowledge,2.92999268,11,11,bomb_1,2023-08-04 04:37:16.641,False,
156,62f0f29a,MCTS_Knowledge,10.7529907,115,0,bomb_1,2023-08-04 01:31:43.055,False,
157,62f0f29a,MCTS_Knowledge,7.126526,38,1,bomb_0,2023-08-04 01:31:50.283,False,
158,62f0f29a,MCTS_Knowledge,38.7724,105,2,rainbow_0,2023-08-04 01:32:29.175,False,
159,62f0f29a,MCTS_Knowledge,11.1322021,99,3,rocket_0,2023-08-04 01:32:40.422,False,
160,62f0f29a,MCTS_Knowledge,52.0803833,126,4,horizon_0,2023-08-04 01:33:32.616,False,
161,62f0f29a,MCTS_Knowledge,25.89978,31,5,cross_0,2023-08-04 01:33:58.635,False,
162,62f0f29a,MCTS_Knowledge,28.2475586,116,6,rainbow_0,2023-08-04 01:34:27.001,False,
163,62f0f29a,MCTS_Knowledge,40.6943359,115,7,rocket_0,2023-08-04 01:35:07.855,False,
164,62f0f29a,MCTS_Knowledge,45.2178955,116,8,cross_1,2023-08-04 01:35:53.185,False,
165,62f0f29a,MCTS_Knowledge,139.50354,18,9,vertical_1,2023-08-04 01:38:12.789,False,
166,62f0f29a,MCTS_Knowledge,0.7553711,75,10,horizon_1,2023-08-04 01:38:13.697,False,
167,62f0f29a,MCTS_Knowledge,18.3282471,121,11,vertical_0,2023-08-04 01:38:32.133,False,
168,7e5cae45,MCTS_Knowledge,10.4035034,19,0,rainbow_0,2023-08-04 05:26:24.217,False,
169,7e5cae45,MCTS_Knowledge,15.8362427,46,1,bomb_1,2023-08-04 05:26:40.199,False,
170,7e5cae45,MCTS_Knowledge,5.86376953,54,2,rocket_0,2023-08-04 05:26:46.208,False,
171,7e5cae45,MCTS_Knowledge,1.75500488,54,3,rocket_0,2023-08-04 05:26:48.098,False,
172,7e5cae45,MCTS_Knowledge,8.036499,51,4,bomb_0,2023-08-04 05:26:56.296,False,
173,7e5cae45,MCTS_Knowledge,5.79296875,124,5,horizon_1,2023-08-04 05:27:02.213,True,
174,7e5cae45,MCTS_Knowledge,3.390808,117,6,vertical_0,2023-08-04 05:27:05.733,False,
175,7e5cae45,MCTS_Knowledge,2.99755859,51,7,cross_1,2023-08-04 05:27:08.848,False,
176,7e5cae45,MCTS_Knowledge,6.91265869,46,8,cross_0,2023-08-04 05:27:15.923,False,
177,7e5cae45,MCTS_Knowledge,2.902832,117,9,vertical_1,2023-08-04 05:27:18.973,False,
